actor,role,recode
1098,ADM,0
1100,NUR,1
1105,NUR,2
1108,NUR,3
1109,NUR,4
1114,NUR,5
1115,NUR,6
1116,NUR,7
1130,MED,8
1142,NUR,9
1144,MED,10
1148,MED,11
1149,NUR,12
1152,MED,13
1157,MED,14
1159,MED,15
1164,NUR,16
1168,MED,17
1179,ADM,18
1181,NUR,19
1190,NUR,20
1191,MED,21
1193,NUR,22
1196,NUR,23
1202,NUR,24
1205,NUR,25
1207,NUR,26
1209,ADM,27
1210,NUR,28
1221,MED,29
1232,ADM,30
1238,NUR,31
1245,NUR,32
1246,NUR,33
1260,MED,34
1261,NUR,35
1295,NUR,36
1305,PAT,37
1307,PAT,38
1320,PAT,39
1323,PAT,40
1327,PAT,41
1332,PAT,42
1352,PAT,43
1362,PAT,44
1363,PAT,45
1365,PAT,46
1373,PAT,47
1374,PAT,48
1377,PAT,49
1378,PAT,50
1383,PAT,51
1385,PAT,52
1391,PAT,53
1393,PAT,54
1395,PAT,55
1399,PAT,56
1401,PAT,57
1416,PAT,58
1460,PAT,59
1469,PAT,60
1485,NUR,61
1525,ADM,62
1535,ADM,63
1547,PAT,64
1613,NUR,65
1625,NUR,66
1629,NUR,67
1658,ADM,68
1660,MED,69
1671,ADM,70
1701,PAT,71
1702,PAT,72
1769,PAT,73
1784,PAT,74
