actor,initial_pres
1098,True
1100,False
1105,True
1108,False
1109,True
1114,True
1115,True
1116,True
1130,True
1142,True
1144,True
1148,True
1149,True
1152,True
1157,True
1159,True
1164,True
1168,True
1179,True
1181,True
1190,True
1191,True
1193,True
1196,True
1202,False
1205,False
1207,False
1209,False
1210,False
1221,False
1232,True
1238,False
1245,False
1246,False
1260,False
1261,True
1295,True
1305,True
1307,False
1320,True
1323,True
1327,True
1332,False
1352,True
1362,False
1363,True
1365,True
1373,False
1374,True
1377,True
1378,True
1383,True
1385,False
1391,True
1393,True
1395,False
1399,True
1401,False
1416,False
1460,False
1469,False
1485,False
1525,False
1535,False
1547,False
1613,False
1625,False
1629,False
1658,False
1660,False
1671,False
1701,False
1702,False
1769,False
1784,False
